,sentence_0,sentence_1,score,dataset_name,tokens_0,tokens_1,lemmas_0,lemmas_1,sentence_lemmas_0,sentence_lemmas_1
460,"Douglas Robinson, a senior vice president of finance, will take over as chief financial officer on an interim basis.","Douglas Robinson, CA senior vice president, finance, will fill the position in the interim.",3.8,MSRpar,"['Douglas', 'Robinson', 'a', 'senior', 'vice', 'president', 'of', 'finance', 'will', 'take', 'over', 'as', 'chief', 'financial', 'officer', 'on', 'an', 'interim', 'basis']","['Douglas', 'Robinson', 'CA', 'senior', 'vice', 'president', 'finance', 'will', 'fill', 'the', 'position', 'in', 'the', 'interim']","['douglas', 'robinson', 'a', 'senior', 'vice', 'president', 'of', 'finance', 'will', 'take', 'over', 'as', 'chief', 'financial', 'officer', 'on', 'an', 'interim', 'basis']","['douglas', 'robinson', 'ca', 'senior', 'vice', 'president', 'finance', 'will', 'fill', 'the', 'position', 'in', 'the', 'interim']",douglas robinson a senior vice president of finance will take over as chief financial officer on an interim basis,douglas robinson ca senior vice president finance will fill the position in the interim
461,INTEL TODAY disclosed details of its next-generation XScale processor for mobile phones and handheld devices here in San Jose.,"Intel on Wednesday unveiled its next-generation processor for cell phones, PDAs, and other wireless devices.",3.6,MSRpar,"['INTEL', 'TODAY', 'disclosed', 'details', 'of', 'its', 'next-generation', 'XScale', 'processor', 'for', 'mobile', 'phones', 'and', 'handheld', 'devices', 'here', 'in', 'San', 'Jose']","['Intel', 'on', 'Wednesday', 'unveiled', 'its', 'next-generation', 'processor', 'for', 'cell', 'phones', 'PDAs', 'and', 'other', 'wireless', 'devices']","['intel', 'today', 'disclose', 'detail', 'of', 'its', 'next-generation', 'xscale', 'processor', 'for', 'mobile', 'phone', 'and', 'handheld', 'device', 'here', 'in', 'san', 'jose']","['intel', 'on', 'wednesday', 'unveil', 'its', 'next-generation', 'processor', 'for', 'cell', 'phone', 'pda', 'and', 'other', 'wireless', 'device']",intel today disclose detail of its next-generation xscale processor for mobile phone and handheld device here in san jose,intel on wednesday unveil its next-generation processor for cell phone pda and other wireless device
462,Several states and the federal government later passed similar or more strict bans.,"Following California's lead, several states and the federal government passed similar or tougher bans.",4.0,MSRpar,"['Several', 'states', 'and', 'the', 'federal', 'government', 'later', 'passed', 'similar', 'or', 'more', 'strict', 'bans']","['Following', 'California', ""'s"", 'lead', 'several', 'states', 'and', 'the', 'federal', 'government', 'passed', 'similar', 'or', 'tougher', 'bans']","['several', 'state', 'and', 'the', 'federal', 'government', 'later', 'pass', 'similar', 'or', 'more', 'strict', 'ban']","['follow', 'california', ""'s"", 'lead', 'several', 'state', 'and', 'the', 'federal', 'government', 'pass', 'similar', 'or', 'tough', 'ban']",several state and the federal government later pass similar or more strict ban,follow california 's lead several state and the federal government pass similar or tough ban
463,"Still, he noted Miami must decide whether to seek ACC membership for the next school year by June 30 to adhere to Big East guidelines.","Still, he noted that Miami must decide whether to seek A.C.C. membership by June 30 to adhere to Big East guidelines.",4.6,MSRpar,"['Still', 'he', 'noted', 'Miami', 'must', 'decide', 'whether', 'to', 'seek', 'ACC', 'membership', 'for', 'the', 'next', 'school', 'year', 'by', 'June', '30', 'to', 'adhere', 'to', 'Big', 'East', 'guidelines']","['Still', 'he', 'noted', 'that', 'Miami', 'must', 'decide', 'whether', 'to', 'seek', 'A.C.C', 'membership', 'by', 'June', '30', 'to', 'adhere', 'to', 'Big', 'East', 'guidelines']","['still', 'he', 'note', 'miami', 'must', 'decide', 'whether', 'to', 'seek', 'acc', 'membership', 'for', 'the', 'next', 'school', 'year', 'by', 'june', '30', 'to', 'adhere', 'to', 'big', 'east', 'guideline']","['still', 'he', 'note', 'that', 'miami', 'must', 'decide', 'whether', 'to', 'seek', 'a.c.c', 'membership', 'by', 'june', '30', 'to', 'adhere', 'to', 'big', 'east', 'guideline']",still he note miami must decide whether to seek acc membership for the next school year by june 30 to adhere to big east guideline,still he note that miami must decide whether to seek a.c.c membership by june 30 to adhere to big east guideline
464,"He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.",He refused to say what percentage of domestic flights had security officers on board.,3.8,MSRpar,"['He', 'refused', 'to', 'reveal', 'what', 'percentage', 'of', 'flights', 'carried', 'sky', 'marshals', 'or', 'whether', 'they', 'would', 'be', 'increased']","['He', 'refused', 'to', 'say', 'what', 'percentage', 'of', 'domestic', 'flights', 'had', 'security', 'officers', 'on', 'board']","['he', 'refuse', 'to', 'reveal', 'what', 'percentage', 'of', 'flight', 'carry', 'sky', 'marshal', 'or', 'whether', 'they', 'would', 'be', 'increase']","['he', 'refuse', 'to', 'say', 'what', 'percentage', 'of', 'domestic', 'flight', 'have', 'security', 'officer', 'on', 'board']",he refuse to reveal what percentage of flight carry sky marshal or whether they would be increase,he refuse to say what percentage of domestic flight have security officer on board
465,"Revenues for ""The Hulk"" came in well below those of last month's Marvel Comics adaptation, ""X2: X-Men United,"" which grossed $85.6 million in its opening weekend.","The Hulk trailed last month's Marvel Comics adaptation, X2: X-Men United, which grossed $85.6-million in its opening weekend.",4.8,MSRpar,"['Revenues', 'for', '``', 'The', 'Hulk', ""''"", 'came', 'in', 'well', 'below', 'those', 'of', 'last', 'month', ""'s"", 'Marvel', 'Comics', 'adaptation', '``', 'X2', 'X-Men', 'United', ""''"", 'which', 'grossed', '85.6', 'million', 'in', 'its', 'opening', 'weekend']","['The', 'Hulk', 'trailed', 'last', 'month', ""'s"", 'Marvel', 'Comics', 'adaptation', 'X2', 'X-Men', 'United', 'which', 'grossed', '85.6-million', 'in', 'its', 'opening', 'weekend']","['revenue', 'for', '``', 'the', 'hulk', ""''"", 'come', 'in', 'well', 'below', 'those', 'of', 'last', 'month', ""'s"", 'marvel', 'comic', 'adaptation', '``', 'x2', 'x-men', 'united', ""''"", 'which', 'gross', '85.6', 'million', 'in', 'its', 'opening', 'weekend']","['the', 'hulk', 'trail', 'last', 'month', ""'s"", 'marvel', 'comic', 'adaptation', 'x2', 'x-men', 'united', 'which', 'gross', '85.6-million', 'in', 'its', 'opening', 'weekend']",revenue for `` the hulk '' come in well below those of last month 's marvel comic adaptation `` x2 x-men united '' which gross 85.6 million in its opening weekend,the hulk trail last month 's marvel comic adaptation x2 x-men united which gross 85.6-million in its opening weekend
466,"Shares of Littleton, Colorado-based EchoStar rose $1.63, or 5.3 percent, to $32.26 at 10:55 a.m.","On Monday, EchoStar (DISH: news, chart, profile) shares shrank $1.40, or 4.4 percent, to $30.63.",2.0,MSRpar,"['Shares', 'of', 'Littleton', 'Colorado-based', 'EchoStar', 'rose', '1.63', 'or', '5.3', 'percent', 'to', '32.26', 'at', '10:55', 'a.m']","['On', 'Monday', 'EchoStar', 'DISH', 'news', 'chart', 'profile', 'shares', 'shrank', '1.40', 'or', '4.4', 'percent', 'to', '30.63']","['share', 'of', 'littleton', 'colorado-based', 'echostar', 'rise', '1.63', 'or', '5.3', 'percent', 'to', '32.26', 'at', '10:55', 'a.m']","['on', 'monday', 'echostar', 'dish', 'news', 'chart', 'profile', 'share', 'shrink', '1.40', 'or', '4.4', 'percent', 'to', '30.63']",share of littleton colorado-based echostar rise 1.63 or 5.3 percent to 32.26 at 10:55 a.m,on monday echostar dish news chart profile share shrink 1.40 or 4.4 percent to 30.63
467,"The valid signatures of 897,158 registered California voters must be collected and turned in to county election officials by Sept. 2.","To force a recall election of Davis, the valid signatures of 897,158 registered California voters must be turned in to election officials.",3.2,MSRpar,"['The', 'valid', 'signatures', 'of', '897,158', 'registered', 'California', 'voters', 'must', 'be', 'collected', 'and', 'turned', 'in', 'to', 'county', 'election', 'officials', 'by', 'Sept.', '2']","['To', 'force', 'a', 'recall', 'election', 'of', 'Davis', 'the', 'valid', 'signatures', 'of', '897,158', 'registered', 'California', 'voters', 'must', 'be', 'turned', 'in', 'to', 'election', 'officials']","['the', 'valid', 'signature', 'of', '897,158', 'register', 'california', 'voter', 'must', 'be', 'collect', 'and', 'turn', 'in', 'to', 'county', 'election', 'official', 'by', 'sept.', '2']","['to', 'force', 'a', 'recall', 'election', 'of', 'davis', 'the', 'valid', 'signature', 'of', '897,158', 'register', 'california', 'voter', 'must', 'be', 'turn', 'in', 'to', 'election', 'official']","the valid signature of 897,158 register california voter must be collect and turn in to county election official by sept. 2","to force a recall election of davis the valid signature of 897,158 register california voter must be turn in to election official"
468,"The benchmark 10-year note US10YT=RR lost 11/32 in price, taking its yield to 3.21 percent from 3.17 percent late on Monday.","Further out the curve, the benchmark 10-year note US10YT=RR shed 18/32 in price, taking its yield to 3.24 percent from 3.17 percent.",2.2,MSRpar,"['The', 'benchmark', '10-year', 'note', 'US10YT=RR', 'lost', '11/32', 'in', 'price', 'taking', 'its', 'yield', 'to', '3.21', 'percent', 'from', '3.17', 'percent', 'late', 'on', 'Monday']","['Further', 'out', 'the', 'curve', 'the', 'benchmark', '10-year', 'note', 'US10YT=RR', 'shed', '18/32', 'in', 'price', 'taking', 'its', 'yield', 'to', '3.24', 'percent', 'from', '3.17', 'percent']","['the', 'benchmark', '10-year', 'note', 'us10yt=rr', 'lose', '11/32', 'in', 'price', 'take', 'its', 'yield', 'to', '3.21', 'percent', 'from', '3.17', 'percent', 'late', 'on', 'monday']","['far', 'out', 'the', 'curve', 'the', 'benchmark', '10-year', 'note', 'us10yt=rr', 'shed', '18/32', 'in', 'price', 'take', 'its', 'yield', 'to', '3.24', 'percent', 'from', '3.17', 'percent']",the benchmark 10-year note us10yt=rr lose 11/32 in price take its yield to 3.21 percent from 3.17 percent late on monday,far out the curve the benchmark 10-year note us10yt=rr shed 18/32 in price take its yield to 3.24 percent from 3.17 percent
469,The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis.,The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country.,4.0,MSRpar,"['The', 'MDC', 'called', 'the', 'strike', 'to', 'force', 'Mr', 'Mugabe', 'to', 'either', 'resign', 'or', 'negotiate', 'a', 'settlement', 'of', 'the', 'Zimbabwe', 'crisis']","['The', 'MDC', 'called', 'the', 'week-long', 'protest', 'to', 'urge', 'Mugabe', 'either', 'to', 'resign', 'or', 'to', 'negotiate', 'a', 'settlement', 'of', 'the', 'crisis', 'gripping', 'the', 'country']","['the', 'mdc', 'call', 'the', 'strike', 'to', 'force', 'mr', 'mugabe', 'to', 'either', 'resign', 'or', 'negotiate', 'a', 'settlement', 'of', 'the', 'zimbabwe', 'crisis']","['the', 'mdc', 'call', 'the', 'week-long', 'protest', 'to', 'urge', 'mugabe', 'either', 'to', 'resign', 'or', 'to', 'negotiate', 'a', 'settlement', 'of', 'the', 'crisis', 'grip', 'the', 'country']",the mdc call the strike to force mr mugabe to either resign or negotiate a settlement of the zimbabwe crisis,the mdc call the week-long protest to urge mugabe either to resign or to negotiate a settlement of the crisis grip the country
470,The 6th U.S. Circuit Court of Appeals on Wednesday ruled that an Ohio law banning a controversial late-term abortion method passes constitutional muster and the state can enforce it.,"An Ohio law that bans a controversial late-term abortion procedure is constitutionally acceptable and the state can enforce it, a federal appeals court ruled yesterday.",4.2,MSRpar,"['The', '6th', 'U.S', 'Circuit', 'Court', 'of', 'Appeals', 'on', 'Wednesday', 'ruled', 'that', 'an', 'Ohio', 'law', 'banning', 'a', 'controversial', 'late-term', 'abortion', 'method', 'passes', 'constitutional', 'muster', 'and', 'the', 'state', 'can', 'enforce', 'it']","['An', 'Ohio', 'law', 'that', 'bans', 'a', 'controversial', 'late-term', 'abortion', 'procedure', 'is', 'constitutionally', 'acceptable', 'and', 'the', 'state', 'can', 'enforce', 'it', 'a', 'federal', 'appeals', 'court', 'ruled', 'yesterday']","['the', '6th', 'u.s', 'circuit', 'court', 'of', 'appeal', 'on', 'wednesday', 'rule', 'that', 'an', 'ohio', 'law', 'ban', 'a', 'controversial', 'late-term', 'abortion', 'method', 'pass', 'constitutional', 'muster', 'and', 'the', 'state', 'can', 'enforce', 'it']","['an', 'ohio', 'law', 'that', 'ban', 'a', 'controversial', 'late-term', 'abortion', 'procedure', 'be', 'constitutionally', 'acceptable', 'and', 'the', 'state', 'can', 'enforce', 'it', 'a', 'federal', 'appeal', 'court', 'rule', 'yesterday']",the 6th u.s circuit court of appeal on wednesday rule that an ohio law ban a controversial late-term abortion method pass constitutional muster and the state can enforce it,an ohio law that ban a controversial late-term abortion procedure be constitutionally acceptable and the state can enforce it a federal appeal court rule yesterday
471,"The Nasdaq composite index advanced 20.59, or 1.3 percent, to 1,616.50, after gaining 5.7 percent last week.","The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.",2.0,MSRpar,"['The', 'Nasdaq', 'composite', 'index', 'advanced', '20.59', 'or', '1.3', 'percent', 'to', '1,616.50', 'after', 'gaining', '5.7', 'percent', 'last', 'week']","['The', 'technology-laced', 'Nasdaq', 'Composite', 'Index', '.IXIC', 'climbed', '19.11', 'points', 'or', '1.2', 'percent', 'to', '1,615.02']","['the', 'nasdaq', 'composite', 'index', 'advance', '20.59', 'or', '1.3', 'percent', 'to', '1,616.50', 'after', 'gain', '5.7', 'percent', 'last', 'week']","['the', 'technology-laced', 'nasdaq', 'composite', 'index', '.ixic', 'climb', '19.11', 'point', 'or', '1.2', 'percent', 'to', '1,615.02']","the nasdaq composite index advance 20.59 or 1.3 percent to 1,616.50 after gain 5.7 percent last week","the technology-laced nasdaq composite index .ixic climb 19.11 point or 1.2 percent to 1,615.02"
472,"Revenue rose 3.9 percent, to $1.63 billion from $1.57 billion.","The McLean, Virginia-based company said newspaper revenue increased 5 percent to $1.46 billion.",1.2,MSRpar,"['Revenue', 'rose', '3.9', 'percent', 'to', '1.63', 'billion', 'from', '1.57', 'billion']","['The', 'McLean', 'Virginia-based', 'company', 'said', 'newspaper', 'revenue', 'increased', '5', 'percent', 'to', '1.46', 'billion']","['revenue', 'rise', '3.9', 'percent', 'to', '1.63', 'billion', 'from', '1.57', 'billion']","['the', 'mclean', 'virginia-based', 'company', 'say', 'newspaper', 'revenue', 'increase', '5', 'percent', 'to', '1.46', 'billion']",revenue rise 3.9 percent to 1.63 billion from 1.57 billion,the mclean virginia-based company say newspaper revenue increase 5 percent to 1.46 billion
473,"In January 2000, notebooks represented less than 25 percent of sales volume.","That compares with January 2000, when laptops represented less than 25 percent of sales volume, NPD said.",4.0,MSRpar,"['In', 'January', '2000', 'notebooks', 'represented', 'less', 'than', '25', 'percent', 'of', 'sales', 'volume']","['That', 'compares', 'with', 'January', '2000', 'when', 'laptops', 'represented', 'less', 'than', '25', 'percent', 'of', 'sales', 'volume', 'NPD', 'said']","['in', 'january', '2000', 'notebooks', 'represent', 'less', 'than', '25', 'percent', 'of', 'sale', 'volume']","['that', 'compare', 'with', 'january', '2000', 'when', 'laptop', 'represent', 'less', 'than', '25', 'percent', 'of', 'sale', 'volume', 'npd', 'say']",in january 2000 notebooks represent less than 25 percent of sale volume,that compare with january 2000 when laptop represent less than 25 percent of sale volume npd say
474,Argentine Guillermo Coria and Netherlander Martin Verkerk are in the other half.,The other semifinal between Guillermo Coria of Argentina and Martin Verkerk of the Netherlands is also compelling.,3.0,MSRpar,"['Argentine', 'Guillermo', 'Coria', 'and', 'Netherlander', 'Martin', 'Verkerk', 'are', 'in', 'the', 'other', 'half']","['The', 'other', 'semifinal', 'between', 'Guillermo', 'Coria', 'of', 'Argentina', 'and', 'Martin', 'Verkerk', 'of', 'the', 'Netherlands', 'is', 'also', 'compelling']","['argentine', 'guillermo', 'corium', 'and', 'netherlander', 'martin', 'verkerk', 'be', 'in', 'the', 'other', 'half']","['the', 'other', 'semifinal', 'between', 'guillermo', 'corium', 'of', 'argentina', 'and', 'martin', 'verkerk', 'of', 'the', 'netherlands', 'be', 'also', 'compel']",argentine guillermo corium and netherlander martin verkerk be in the other half,the other semifinal between guillermo corium of argentina and martin verkerk of the netherlands be also compel
475,"The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.",The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.,0.8,MSRpar,"['The', 'Nasdaq', 'Composite', 'Index', 'rose', '19.67', 'or', '1.3', 'percent', 'to', '1523.71', 'its', 'highest', 'since', 'June', '18']","['The', 'S', 'P', '500', 'had', 'climbed', '16', 'percent', 'since', 'its', 'March', 'low', 'and', 'yesterday', 'closed', 'at', 'its', 'highest', 'since', 'Dec.', '2']","['the', 'nasdaq', 'composite', 'index', 'rise', '19.67', 'or', '1.3', 'percent', 'to', '1523.71', 'its', 'high', 'since', 'june', '18']","['the', 's', 'p', '500', 'have', 'climb', '16', 'percent', 'since', 'its', 'march', 'low', 'and', 'yesterday', 'close', 'at', 'its', 'high', 'since', 'dec.', '2']",the nasdaq composite index rise 19.67 or 1.3 percent to 1523.71 its high since june 18,the s p 500 have climb 16 percent since its march low and yesterday close at its high since dec. 2
476,"""What can I say to you?"" he told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families.","Mr. Powell told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families.",2.8,MSRpar,"['``', 'What', 'can', 'I', 'say', 'to', 'you', ""''"", 'he', 'told', 'a', 'crowd', 'at', 'a', 'cemetery', 'with', 'a', 'thousand', 'headstones', 'many', 'of', 'them', 'marking', 'the', 'graves', 'of', 'entire', 'families']","['Mr.', 'Powell', 'told', 'a', 'crowd', 'at', 'a', 'cemetery', 'with', 'a', 'thousand', 'headstones', 'many', 'of', 'them', 'marking', 'the', 'graves', 'of', 'entire', 'families']","['``', 'what', 'can', 'i', 'say', 'to', 'you', ""''"", 'he', 'tell', 'a', 'crowd', 'at', 'a', 'cemetery', 'with', 'a', 'thousand', 'headstone', 'many', 'of', 'them', 'mark', 'the', 'graf', 'of', 'entire', 'family']","['mr.', 'powell', 'tell', 'a', 'crowd', 'at', 'a', 'cemetery', 'with', 'a', 'thousand', 'headstone', 'many', 'of', 'them', 'mark', 'the', 'graf', 'of', 'entire', 'family']",`` what can i say to you '' he tell a crowd at a cemetery with a thousand headstone many of them mark the graf of entire family,mr. powell tell a crowd at a cemetery with a thousand headstone many of them mark the graf of entire family
477,"They said they had concluded that the film failed ""to present a balanced portrayal"" of the Reagans.","CBS said the show ""does not present a balanced portrayal of the Reagans for CBS and its audience.",3.0,MSRpar,"['They', 'said', 'they', 'had', 'concluded', 'that', 'the', 'film', 'failed', '``', 'to', 'present', 'a', 'balanced', 'portrayal', ""''"", 'of', 'the', 'Reagans']","['CBS', 'said', 'the', 'show', '``', 'does', 'not', 'present', 'a', 'balanced', 'portrayal', 'of', 'the', 'Reagans', 'for', 'CBS', 'and', 'its', 'audience']","['they', 'say', 'they', 'have', 'conclude', 'that', 'the', 'film', 'fail', '``', 'to', 'present', 'a', 'balanced', 'portrayal', ""''"", 'of', 'the', 'reagan']","['cbs', 'say', 'the', 'show', '``', 'do', 'not', 'present', 'a', 'balanced', 'portrayal', 'of', 'the', 'reagan', 'for', 'cbs', 'and', 'its', 'audience']",they say they have conclude that the film fail `` to present a balanced portrayal '' of the reagan,cbs say the show `` do not present a balanced portrayal of the reagan for cbs and its audience
478,"""We're going to do everything in our power to get money back to ratepayers as quickly as possible,"" Kennedy said.","""There's very strong interest in getting money back to the ratepayers as quickly as possible,"" Commissioner Susan Kennedy said.",3.8,MSRpar,"['``', 'We', ""'re"", 'going', 'to', 'do', 'everything', 'in', 'our', 'power', 'to', 'get', 'money', 'back', 'to', 'ratepayers', 'as', 'quickly', 'as', 'possible', ""''"", 'Kennedy', 'said']","['``', 'There', ""'s"", 'very', 'strong', 'interest', 'in', 'getting', 'money', 'back', 'to', 'the', 'ratepayers', 'as', 'quickly', 'as', 'possible', ""''"", 'Commissioner', 'Susan', 'Kennedy', 'said']","['``', 'we', ""'re"", 'go', 'to', 'do', 'everything', 'in', 'our', 'power', 'to', 'get', 'money', 'back', 'to', 'ratepayer', 'as', 'quickly', 'as', 'possible', ""''"", 'kennedy', 'say']","['``', 'there', ""'s"", 'very', 'strong', 'interest', 'in', 'get', 'money', 'back', 'to', 'the', 'ratepayer', 'as', 'quickly', 'as', 'possible', ""''"", 'commissioner', 'susan', 'kennedy', 'say']",`` we 're go to do everything in our power to get money back to ratepayer as quickly as possible '' kennedy say,`` there 's very strong interest in get money back to the ratepayer as quickly as possible '' commissioner susan kennedy say
479,"She had only a single condition, that the book not be published until her death.","She insisted, though, that it not be published until after her death.",4.4,MSRpar,"['She', 'had', 'only', 'a', 'single', 'condition', 'that', 'the', 'book', 'not', 'be', 'published', 'until', 'her', 'death']","['She', 'insisted', 'though', 'that', 'it', 'not', 'be', 'published', 'until', 'after', 'her', 'death']","['she', 'have', 'only', 'a', 'single', 'condition', 'that', 'the', 'book', 'not', 'be', 'publish', 'until', 'her', 'death']","['she', 'insist', 'though', 'that', 'it', 'not', 'be', 'publish', 'until', 'after', 'her', 'death']",she have only a single condition that the book not be publish until her death,she insist though that it not be publish until after her death
480,The findings are published in the November 6 edition of the journal Nature.,"Both studies are published on Thursday in Nature, the British weekly science journal.",2.6,MSRpar,"['The', 'findings', 'are', 'published', 'in', 'the', 'November', '6', 'edition', 'of', 'the', 'journal', 'Nature']","['Both', 'studies', 'are', 'published', 'on', 'Thursday', 'in', 'Nature', 'the', 'British', 'weekly', 'science', 'journal']","['the', 'finding', 'be', 'publish', 'in', 'the', 'november', '6', 'edition', 'of', 'the', 'journal', 'nature']","['both', 'study', 'be', 'publish', 'on', 'thursday', 'in', 'nature', 'the', 'british', 'weekly', 'science', 'journal']",the finding be publish in the november 6 edition of the journal nature,both study be publish on thursday in nature the british weekly science journal
481,"Median household income declined 1.1 percent between 2001 and 2002 to $42,409, after accounting for inflation.","The same survey found the median household income rose by $51, when accounting for inflation, to $43,057.",1.4,MSRpar,"['Median', 'household', 'income', 'declined', '1.1', 'percent', 'between', '2001', 'and', '2002', 'to', '42,409', 'after', 'accounting', 'for', 'inflation']","['The', 'same', 'survey', 'found', 'the', 'median', 'household', 'income', 'rose', 'by', '51', 'when', 'accounting', 'for', 'inflation', 'to', '43,057']","['median', 'household', 'income', 'decline', '1.1', 'percent', 'between', '2001', 'and', '2002', 'to', '42,409', 'after', 'account', 'for', 'inflation']","['the', 'same', 'survey', 'find', 'the', 'median', 'household', 'income', 'rise', 'by', '51', 'when', 'accounting', 'for', 'inflation', 'to', '43,057']","median household income decline 1.1 percent between 2001 and 2002 to 42,409 after account for inflation","the same survey find the median household income rise by 51 when accounting for inflation to 43,057"
482,"U.S. and European leaders pledged on Wednesday to work together to keep Iran from developing nuclear weapons, presenting a united front after months of bitter acrimony over Iraq.","Bush said U.S. and European Union leaders, at an annual Washington summit, agreed on the need to keep Iran from developing nuclear weapons.",3.2,MSRpar,"['U.S.', 'and', 'European', 'leaders', 'pledged', 'on', 'Wednesday', 'to', 'work', 'together', 'to', 'keep', 'Iran', 'from', 'developing', 'nuclear', 'weapons', 'presenting', 'a', 'united', 'front', 'after', 'months', 'of', 'bitter', 'acrimony', 'over', 'Iraq']","['Bush', 'said', 'U.S.', 'and', 'European', 'Union', 'leaders', 'at', 'an', 'annual', 'Washington', 'summit', 'agreed', 'on', 'the', 'need', 'to', 'keep', 'Iran', 'from', 'developing', 'nuclear', 'weapons']","['u.s.', 'and', 'european', 'leader', 'pledge', 'on', 'wednesday', 'to', 'work', 'together', 'to', 'keep', 'iran', 'from', 'develop', 'nuclear', 'weapon', 'present', 'a', 'united', 'front', 'after', 'month', 'of', 'bitter', 'acrimony', 'over', 'iraq']","['bush', 'say', 'u.s.', 'and', 'european', 'union', 'leader', 'at', 'an', 'annual', 'washington', 'summit', 'agree', 'on', 'the', 'need', 'to', 'keep', 'iran', 'from', 'develop', 'nuclear', 'weapon']",u.s. and european leader pledge on wednesday to work together to keep iran from develop nuclear weapon present a united front after month of bitter acrimony over iraq,bush say u.s. and european union leader at an annual washington summit agree on the need to keep iran from develop nuclear weapon
483,The company said it would cut the wholesale price of most top-line CDs to $9.09 from $12.02.,The company also said it would cut wholesale prices on cassettes and change the suggested retail price to $8.98.,1.6,MSRpar,"['The', 'company', 'said', 'it', 'would', 'cut', 'the', 'wholesale', 'price', 'of', 'most', 'top-line', 'CDs', 'to', '9.09', 'from', '12.02']","['The', 'company', 'also', 'said', 'it', 'would', 'cut', 'wholesale', 'prices', 'on', 'cassettes', 'and', 'change', 'the', 'suggested', 'retail', 'price', 'to', '8.98']","['the', 'company', 'say', 'it', 'would', 'cut', 'the', 'wholesale', 'price', 'of', 'most', 'top-line', 'cd', 'to', '9.09', 'from', '12.02']","['the', 'company', 'also', 'say', 'it', 'would', 'cut', 'wholesale', 'price', 'on', 'cassette', 'and', 'change', 'the', 'suggested', 'retail', 'price', 'to', '8.98']",the company say it would cut the wholesale price of most top-line cd to 9.09 from 12.02,the company also say it would cut wholesale price on cassette and change the suggested retail price to 8.98
484,He left the army for Syria where he received religious training.,"He moved to Syria, where he underwent further religious training in traditional Islamic beliefs.",3.0,MSRpar,"['He', 'left', 'the', 'army', 'for', 'Syria', 'where', 'he', 'received', 'religious', 'training']","['He', 'moved', 'to', 'Syria', 'where', 'he', 'underwent', 'further', 'religious', 'training', 'in', 'traditional', 'Islamic', 'beliefs']","['he', 'leave', 'the', 'army', 'for', 'syria', 'where', 'he', 'receive', 'religious', 'training']","['he', 'move', 'to', 'syria', 'where', 'he', 'undergo', 'far', 'religious', 'training', 'in', 'traditional', 'islamic', 'belief']",he leave the army for syria where he receive religious training,he move to syria where he undergo far religious training in traditional islamic belief
485,"The meeting was scheduled to end Wednesday night, with attendees approving resolutions that express the denomination's view on issues but that are not binding on churches.","On Wednesday, attendees will vote on resolutions that express the Southern Baptist view on issues, but are not binding on individual churches.",3.273,MSRpar,"['The', 'meeting', 'was', 'scheduled', 'to', 'end', 'Wednesday', 'night', 'with', 'attendees', 'approving', 'resolutions', 'that', 'express', 'the', 'denomination', ""'s"", 'view', 'on', 'issues', 'but', 'that', 'are', 'not', 'binding', 'on', 'churches']","['On', 'Wednesday', 'attendees', 'will', 'vote', 'on', 'resolutions', 'that', 'express', 'the', 'Southern', 'Baptist', 'view', 'on', 'issues', 'but', 'are', 'not', 'binding', 'on', 'individual', 'churches']","['the', 'meeting', 'be', 'schedule', 'to', 'end', 'wednesday', 'night', 'with', 'attendee', 'approve', 'resolution', 'that', 'express', 'the', 'denomination', ""'s"", 'view', 'on', 'issue', 'but', 'that', 'be', 'not', 'bind', 'on', 'church']","['on', 'wednesday', 'attendee', 'will', 'vote', 'on', 'resolution', 'that', 'express', 'the', 'southern', 'baptist', 'view', 'on', 'issue', 'but', 'be', 'not', 'bind', 'on', 'individual', 'church']",the meeting be schedule to end wednesday night with attendee approve resolution that express the denomination 's view on issue but that be not bind on church,on wednesday attendee will vote on resolution that express the southern baptist view on issue but be not bind on individual church
